Student Id,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
680,female,group D,master's degree,standard,none,53,61,68
681,female,group D,some high school,standard,none,81,97,96
682,female,group E,some high school,standard,none,77,79,80
683,female,group D,bachelor's degree,free/reduced,none,63,73,78
684,female,group D,associate's degree,standard,completed,73,75,80
685,female,group D,some college,standard,none,69,77,77
686,female,group C,associate's degree,standard,none,65,76,76
687,female,group A,high school,standard,none,55,73,73
688,female,group C,bachelor's degree,free/reduced,none,44,63,62
689,female,group C,some college,standard,none,54,64,65
690,female,group A,some high school,standard,none,48,66,65
691,male,group C,some college,free/reduced,none,58,57,54
692,male,group A,some high school,standard,none,71,62,50
693,male,group E,bachelor's degree,standard,none,68,68,64
694,female,group E,high school,standard,none,74,76,73
695,female,group C,bachelor's degree,standard,completed,92,100,99
696,female,group C,bachelor's degree,standard,completed,56,79,72
697,male,group B,high school,free/reduced,none,30,24,15
698,male,group A,some high school,standard,none,53,54,48
699,female,group D,high school,standard,none,69,77,73
700,female,group D,some high school,standard,none,65,82,81
701,female,group D,master's degree,standard,none,54,60,63
702,female,group C,high school,standard,none,29,29,30
703,female,group E,some college,standard,none,76,78,80
704,male,group D,high school,free/reduced,none,60,57,51
705,male,group D,master's degree,free/reduced,completed,84,89,90
706,male,group C,some high school,standard,none,75,72,62
707,female,group C,associate's degree,standard,none,85,84,82
708,female,group C,master's degree,free/reduced,none,40,58,54
709,female,group E,some college,standard,none,61,64,62
710,female,group B,associate's degree,standard,none,58,63,65
711,male,group D,some college,free/reduced,completed,69,60,63
712,female,group C,some college,standard,none,58,59,66
713,male,group C,bachelor's degree,standard,completed,94,90,91
714,female,group C,associate's degree,standard,none,65,77,74
715,female,group A,associate's degree,standard,none,82,93,93
716,female,group C,high school,standard,none,60,68,72
717,female,group E,bachelor's degree,standard,none,37,45,38
718,male,group D,bachelor's degree,standard,none,88,78,83
719,male,group D,master's degree,standard,none,95,81,84
720,male,group C,associate's degree,free/reduced,completed,65,73,68
721,female,group C,high school,free/reduced,none,35,61,54
722,male,group B,bachelor's degree,free/reduced,none,62,63,56
723,male,group C,high school,free/reduced,completed,58,51,52
724,male,group A,some college,standard,completed,100,96,86
725,female,group E,bachelor's degree,free/reduced,none,61,58,62
726,male,group D,some college,standard,completed,100,97,99
727,male,group B,associate's degree,free/reduced,completed,69,70,63
728,male,group D,associate's degree,standard,none,61,48,46
729,male,group D,some college,free/reduced,none,49,57,46
730,female,group C,some high school,standard,completed,44,51,55
731,male,group D,some college,standard,none,67,64,70
732,male,group B,high school,standard,none,79,60,65
733,female,group B,bachelor's degree,standard,completed,66,74,81
734,female,group C,high school,standard,none,75,88,85
735,male,group D,some high school,standard,none,84,84,80
736,male,group A,high school,standard,none,71,74,64
737,female,group B,high school,free/reduced,completed,67,80,81
738,female,group D,some high school,standard,completed,80,92,88
739,male,group E,some college,standard,none,86,76,74
740,female,group D,associate's degree,standard,none,76,74,73
741,male,group D,high school,standard,none,41,52,51
742,female,group D,associate's degree,free/reduced,completed,74,88,90
743,female,group B,some high school,free/reduced,none,72,81,79
744,female,group E,high school,standard,completed,74,79,80
745,male,group B,high school,standard,none,70,65,60
746,female,group B,bachelor's degree,standard,completed,65,81,81
747,female,group D,associate's degree,standard,none,59,70,65
748,female,group E,high school,free/reduced,none,64,62,68
749,female,group B,high school,standard,none,50,53,55
750,female,group D,some college,standard,completed,69,79,81
751,male,group C,some high school,free/reduced,completed,51,56,53
752,female,group A,high school,standard,completed,68,80,76
753,female,group D,some college,standard,completed,85,86,98
754,female,group A,associate's degree,standard,completed,65,70,74
755,female,group B,some high school,standard,none,73,79,79
756,female,group B,some college,standard,none,62,67,67
757,male,group C,associate's degree,free/reduced,none,77,67,64
758,male,group D,some high school,standard,none,69,66,61
759,female,group D,associate's degree,free/reduced,none,43,60,58
760,male,group D,associate's degree,standard,none,90,87,85
761,male,group C,some college,free/reduced,none,74,77,73
762,male,group C,some high school,standard,none,73,66,63
763,female,group D,some college,free/reduced,none,55,71,69
764,female,group C,high school,standard,none,65,69,67
765,male,group D,associate's degree,standard,none,80,63,63
766,female,group C,some high school,free/reduced,completed,50,60,60
767,female,group C,some college,free/reduced,completed,63,73,71
768,female,group B,bachelor's degree,free/reduced,none,77,85,87
769,male,group C,some college,standard,none,73,74,61
770,male,group D,associate's degree,standard,completed,81,72,77
771,female,group C,high school,free/reduced,none,66,76,68
772,male,group D,associate's degree,free/reduced,none,52,57,50
773,female,group C,some college,standard,none,69,78,76
774,female,group C,associate's degree,standard,completed,65,84,84
775,female,group D,high school,standard,completed,69,77,78
776,female,group B,some college,standard,completed,50,64,66
777,female,group E,some college,standard,completed,73,78,76
778,female,group C,some high school,standard,completed,70,82,76
779,male,group D,associate's degree,free/reduced,none,81,75,78
780,male,group D,some college,free/reduced,none,63,61,60
781,female,group D,high school,standard,none,67,72,74
782,male,group B,high school,standard,none,60,68,60
783,male,group B,high school,standard,none,62,55,54
784,female,group C,some high school,free/reduced,completed,29,40,44
785,male,group B,some college,standard,completed,62,66,68
786,female,group E,master's degree,standard,completed,94,99,100
787,male,group E,some college,standard,completed,85,75,68
788,male,group D,associate's degree,free/reduced,none,77,78,73
789,male,group A,high school,free/reduced,none,53,58,44
790,male,group E,some college,free/reduced,none,93,90,83
791,female,group C,associate's degree,standard,none,49,53,53
792,female,group E,associate's degree,free/reduced,none,73,76,78
793,female,group C,bachelor's degree,free/reduced,completed,66,74,81
794,female,group D,associate's degree,standard,none,77,77,73
795,female,group C,some high school,standard,none,49,63,56
796,female,group D,some college,free/reduced,none,79,89,86
797,female,group C,associate's degree,standard,completed,75,82,90
798,female,group A,bachelor's degree,standard,none,59,72,70
799,female,group D,associate's degree,standard,completed,57,78,79
800,male,group C,high school,free/reduced,none,66,66,59
801,female,group E,bachelor's degree,standard,completed,79,81,82
802,female,group B,some high school,standard,none,57,67,72
803,male,group A,bachelor's degree,standard,completed,87,84,87
804,female,group D,some college,standard,none,63,64,67
805,female,group B,some high school,free/reduced,completed,59,63,64
806,male,group A,bachelor's degree,free/reduced,none,62,72,65
807,male,group D,high school,standard,none,46,34,36
808,male,group C,some college,standard,none,66,59,52
809,male,group D,high school,standard,none,89,87,79
810,female,group D,associate's degree,free/reduced,completed,42,61,58
811,male,group C,some college,standard,completed,93,84,90
812,female,group E,some high school,standard,completed,80,85,85
813,female,group D,some college,standard,none,98,100,99
814,male,group D,master's degree,standard,none,81,81,84
815,female,group B,some high school,standard,completed,60,70,74
816,female,group B,associate's degree,free/reduced,completed,76,94,87
817,male,group C,associate's degree,standard,completed,73,78,72
818,female,group C,associate's degree,standard,completed,96,96,99
819,female,group C,high school,standard,none,76,76,74
820,male,group E,associate's degree,free/reduced,completed,91,73,80
821,female,group C,some college,free/reduced,none,62,72,70
822,male,group D,some high school,free/reduced,completed,55,59,59
823,female,group B,some high school,free/reduced,completed,74,90,88
824,male,group C,high school,standard,none,50,48,42
825,male,group B,some college,standard,none,47,43,41
826,male,group E,some college,standard,completed,81,74,71
827,female,group E,associate's degree,standard,completed,65,75,77
828,male,group E,some high school,standard,completed,68,51,57
829,female,group D,high school,free/reduced,none,73,92,84
830,male,group C,some college,standard,none,53,39,37
831,female,group B,associate's degree,free/reduced,completed,68,77,80
832,male,group A,some high school,free/reduced,none,55,46,43
833,female,group C,some college,standard,completed,87,89,94
834,male,group D,some high school,standard,none,55,47,44
835,female,group E,some college,free/reduced,none,53,58,57
836,male,group C,master's degree,standard,none,67,57,59
837,male,group C,associate's degree,standard,none,92,79,84
838,female,group B,some college,free/reduced,completed,53,66,73
839,male,group D,associate's degree,standard,none,81,71,73
840,male,group C,high school,free/reduced,none,61,60,55
841,male,group D,bachelor's degree,standard,none,80,73,72
842,female,group A,associate's degree,free/reduced,none,37,57,56
843,female,group C,high school,standard,none,81,84,82
844,female,group C,associate's degree,standard,completed,59,73,72
845,male,group B,some college,free/reduced,none,55,55,47
846,male,group D,associate's degree,standard,none,72,79,74
847,male,group D,high school,standard,none,69,75,71
848,male,group C,some college,standard,none,69,64,68
849,female,group C,bachelor's degree,free/reduced,none,50,60,59
850,male,group B,some college,standard,completed,87,84,86
851,male,group D,some high school,standard,completed,71,69,68
852,male,group E,some college,standard,none,68,72,65
853,male,group C,master's degree,free/reduced,completed,79,77,75
854,female,group C,some high school,standard,completed,77,90,85
855,male,group C,associate's degree,free/reduced,none,58,55,53
856,female,group E,associate's degree,standard,none,84,95,92
857,male,group D,some college,standard,none,55,58,52
858,male,group E,bachelor's degree,free/reduced,completed,70,68,72
859,female,group D,some college,free/reduced,completed,52,59,65
860,male,group B,some college,standard,completed,69,77,77
861,female,group C,high school,free/reduced,none,53,72,64
862,female,group D,some high school,standard,none,48,58,54
863,male,group D,some high school,standard,completed,78,81,86
864,female,group B,high school,standard,none,62,62,63
865,male,group D,some college,standard,none,60,63,59
866,female,group B,high school,standard,none,74,72,72
867,female,group C,high school,standard,completed,58,75,77
868,male,group B,high school,standard,completed,76,62,60
869,female,group D,some high school,standard,none,68,71,75
870,male,group A,some college,free/reduced,none,58,60,57
871,male,group B,high school,standard,none,52,48,49
872,male,group D,bachelor's degree,standard,none,75,73,74
873,female,group B,some high school,free/reduced,completed,52,67,72
874,female,group C,bachelor's degree,free/reduced,none,62,78,79
875,male,group B,some college,standard,none,66,65,60
876,female,group B,some high school,free/reduced,none,49,58,55
877,female,group B,high school,standard,none,66,72,70
878,female,group C,some college,free/reduced,none,35,44,43
879,female,group A,some college,standard,completed,72,79,82
880,male,group E,associate's degree,standard,completed,94,85,82
881,female,group D,associate's degree,free/reduced,none,46,56,57
882,female,group B,master's degree,standard,none,77,90,84
883,female,group B,high school,free/reduced,completed,76,85,82
884,female,group C,associate's degree,standard,completed,52,59,62
885,male,group C,bachelor's degree,standard,completed,91,81,79
886,female,group B,some high school,standard,completed,32,51,44
887,female,group E,some high school,free/reduced,none,72,79,77
888,female,group B,some college,standard,none,19,38,32
889,male,group C,associate's degree,free/reduced,none,68,65,61
890,female,group C,master's degree,free/reduced,none,52,65,61
891,female,group B,high school,standard,none,48,62,60
892,female,group D,some college,free/reduced,none,60,66,70
893,male,group D,high school,free/reduced,none,66,74,69
894,male,group E,some high school,standard,completed,89,84,77
895,female,group B,high school,standard,none,42,52,51
896,female,group E,associate's degree,free/reduced,completed,57,68,73
897,male,group D,high school,standard,none,70,70,70
898,female,group E,associate's degree,free/reduced,none,70,84,81
899,male,group E,some college,standard,none,69,60,54
900,female,group C,associate's degree,standard,none,52,55,57
901,male,group C,some high school,standard,completed,67,73,68
902,male,group C,some high school,standard,completed,76,80,73
903,female,group E,associate's degree,standard,none,87,94,95
904,female,group B,some college,standard,none,82,85,87
905,female,group C,some college,standard,none,73,76,78
906,male,group A,some college,free/reduced,none,75,81,74
907,female,group D,some college,free/reduced,none,64,74,75
908,female,group E,high school,free/reduced,none,41,45,40
909,male,group C,high school,standard,none,90,75,69
910,male,group B,bachelor's degree,standard,none,59,54,51
911,male,group A,some high school,standard,none,51,31,36
912,male,group A,high school,free/reduced,none,45,47,49
913,female,group C,master's degree,standard,completed,54,64,67
914,male,group E,some high school,standard,completed,87,84,76
915,female,group C,high school,standard,none,72,80,83
916,male,group B,some high school,standard,completed,94,86,87
917,female,group A,bachelor's degree,standard,none,45,59,64
918,male,group D,bachelor's degree,free/reduced,completed,61,70,76
919,female,group B,high school,free/reduced,none,60,72,68
920,female,group C,some high school,standard,none,77,91,88
921,female,group A,some high school,standard,completed,85,90,92
922,female,group D,bachelor's degree,free/reduced,none,78,90,93
923,male,group E,some college,free/reduced,completed,49,52,51
924,female,group B,high school,free/reduced,none,71,87,82
925,female,group C,some high school,free/reduced,none,48,58,52
926,male,group C,high school,standard,none,62,67,58
927,female,group C,associate's degree,free/reduced,completed,56,68,70
928,female,group C,some high school,standard,none,65,69,76
929,female,group D,some high school,free/reduced,completed,69,86,81
930,male,group B,some high school,standard,none,68,54,53
931,female,group A,some college,free/reduced,none,61,60,57
932,female,group C,bachelor's degree,free/reduced,completed,74,86,89
933,male,group A,bachelor's degree,standard,none,64,60,58
934,female,group B,high school,standard,completed,77,82,89
935,male,group B,some college,standard,none,58,50,45
936,female,group C,high school,standard,completed,60,64,74
937,male,group E,high school,standard,none,73,64,57
938,female,group A,high school,standard,completed,75,82,79
939,male,group B,associate's degree,free/reduced,completed,58,57,53
940,female,group C,associate's degree,standard,none,66,77,73
941,female,group D,high school,free/reduced,none,39,52,46
942,male,group C,some high school,standard,none,64,58,51
943,female,group B,high school,free/reduced,completed,23,44,36
944,male,group B,some college,free/reduced,completed,74,77,76
945,female,group D,some high school,free/reduced,completed,40,65,64
946,male,group E,master's degree,standard,none,90,85,84
947,male,group C,master's degree,standard,completed,91,85,85
948,male,group D,high school,standard,none,64,54,50
949,female,group C,high school,standard,none,59,72,68
950,male,group D,associate's degree,standard,none,80,75,69
951,male,group C,master's degree,standard,none,71,67,67
952,female,group A,high school,standard,none,61,68,63
953,female,group E,some college,standard,none,87,85,93
954,male,group E,some high school,standard,none,82,67,61
955,male,group C,some high school,standard,none,62,64,55
956,female,group B,bachelor's degree,standard,none,97,97,96
957,male,group B,some college,free/reduced,none,75,68,65
958,female,group C,bachelor's degree,standard,none,65,79,81
959,male,group B,high school,standard,completed,52,49,46
960,male,group C,associate's degree,free/reduced,none,87,73,72
961,female,group C,associate's degree,standard,none,53,62,53
962,female,group E,master's degree,free/reduced,none,81,86,87
963,male,group D,bachelor's degree,free/reduced,completed,39,42,38
964,female,group C,some college,standard,completed,71,71,80
965,male,group C,associate's degree,standard,none,97,93,91
966,male,group D,some college,standard,completed,82,82,88
967,male,group C,high school,free/reduced,none,59,53,52
968,male,group B,associate's degree,standard,none,61,42,41
969,male,group E,associate's degree,free/reduced,completed,78,74,72
970,male,group C,associate's degree,free/reduced,none,49,51,51
971,male,group B,high school,standard,none,59,58,47
972,female,group C,some college,standard,completed,70,72,76
973,male,group B,associate's degree,standard,completed,82,84,78
974,male,group E,associate's degree,free/reduced,none,90,90,82
975,female,group C,bachelor's degree,free/reduced,none,43,62,61
976,male,group C,some college,free/reduced,none,80,64,66
977,male,group D,some college,standard,none,81,82,84
978,male,group C,some high school,standard,none,57,61,54
979,female,group D,some high school,standard,none,59,72,80
980,female,group D,associate's degree,standard,none,64,76,74
981,male,group C,bachelor's degree,standard,completed,63,64,66
982,female,group E,bachelor's degree,standard,completed,71,70,70
983,female,group B,high school,free/reduced,none,64,73,71
984,male,group D,bachelor's degree,free/reduced,none,55,46,44
985,female,group E,associate's degree,standard,none,51,51,54
986,female,group C,associate's degree,standard,completed,62,76,80
987,female,group E,associate's degree,standard,completed,93,100,95
988,male,group C,high school,free/reduced,none,54,72,59
989,female,group D,some college,free/reduced,none,69,65,74
990,male,group D,high school,free/reduced,none,44,51,48
991,female,group E,some college,standard,completed,86,85,91
992,female,group E,associate's degree,standard,none,85,92,85
993,female,group A,master's degree,free/reduced,none,50,67,73
994,male,group D,some high school,standard,completed,88,74,75
995,female,group E,associate's degree,standard,none,59,62,69
996,female,group E,some high school,free/reduced,none,32,34,38
997,male,group B,high school,free/reduced,none,36,29,27
998,female,group B,some high school,free/reduced,completed,63,78,79
999,male,group D,associate's degree,standard,completed,67,54,63
1000,female,group D,some high school,standard,completed,65,78,82
1001,male,group D,master's degree,standard,none,85,84,89
1002,female,group C,master's degree,standard,none,73,78,74
1003,female,group A,high school,free/reduced,completed,34,48,41
1004,female,group D,bachelor's degree,free/reduced,completed,93,100,100
1005,female,group D,some high school,free/reduced,none,67,84,84
1006,male,group D,some college,standard,none,88,77,77
1007,male,group B,high school,standard,none,57,48,51
1008,female,group D,some college,standard,completed,79,84,91
1009,female,group C,bachelor's degree,free/reduced,none,67,75,72
1010,male,group E,bachelor's degree,standard,completed,70,64,70
1011,male,group D,bachelor's degree,free/reduced,none,50,42,48
1012,female,group A,some college,standard,none,69,84,82
1013,female,group C,bachelor's degree,standard,completed,52,61,66
1014,female,group C,bachelor's degree,free/reduced,completed,47,62,66
1015,female,group B,associate's degree,free/reduced,none,46,61,55
1016,female,group E,some college,standard,none,68,70,66
1017,male,group E,bachelor's degree,standard,completed,100,100,100
1018,female,group C,high school,standard,none,44,61,52
1019,female,group C,associate's degree,standard,completed,57,77,80
1020,male,group B,some college,standard,completed,91,96,91
1021,male,group D,high school,free/reduced,none,69,70,67
1022,female,group C,high school,free/reduced,none,35,53,46
1023,male,group D,high school,standard,none,72,66,66
1024,female,group B,associate's degree,free/reduced,none,54,65,65
1025,male,group D,high school,free/reduced,none,74,70,69
1026,male,group E,some high school,standard,completed,74,64,60
1027,male,group E,associate's degree,free/reduced,none,64,56,52
1028,female,group D,high school,free/reduced,completed,65,61,71
1029,male,group E,associate's degree,free/reduced,completed,46,43,44
1030,female,group C,some high school,free/reduced,none,48,56,51
1031,male,group C,some college,free/reduced,completed,67,74,70
1032,male,group D,some college,free/reduced,none,62,57,62
1033,male,group D,associate's degree,free/reduced,completed,61,71,73
1034,male,group C,bachelor's degree,free/reduced,completed,70,75,74
1035,male,group C,associate's degree,standard,completed,98,87,90
1036,male,group D,some college,free/reduced,none,70,63,58
1037,male,group A,associate's degree,standard,none,67,57,53
1038,female,group E,high school,free/reduced,none,57,58,57
1039,male,group D,some college,standard,completed,85,81,85
1040,male,group D,some high school,standard,completed,77,68,69
1041,male,group C,master's degree,free/reduced,completed,72,66,72
1042,female,group D,master's degree,standard,none,78,91,96
1043,male,group C,high school,standard,none,81,66,64
1044,male,group A,some high school,free/reduced,completed,61,62,61
1045,female,group B,high school,standard,none,58,68,61
1046,female,group C,associate's degree,standard,none,54,61,58
1047,male,group B,high school,standard,none,82,82,80
1048,female,group D,some college,free/reduced,none,49,58,60
1049,male,group B,some high school,free/reduced,completed,49,50,52
1050,female,group E,high school,free/reduced,completed,57,75,73
1051,male,group E,high school,standard,none,94,73,71
1052,female,group D,some college,standard,completed,75,77,83
1053,female,group E,some high school,free/reduced,none,74,74,72
1054,male,group C,high school,standard,completed,58,52,54
1055,female,group C,some college,standard,none,62,69,69
1056,male,group E,associate's degree,standard,none,72,57,62
1057,male,group C,some college,standard,none,84,87,81
1058,female,group D,master's degree,standard,none,92,100,100
1059,female,group D,high school,standard,none,45,63,59
1060,male,group C,high school,standard,none,75,81,71
1061,female,group A,some college,standard,none,56,58,64
1062,female,group D,some high school,free/reduced,none,48,54,53
1063,female,group E,associate's degree,standard,none,100,100,100
1064,female,group C,some high school,free/reduced,completed,65,76,75
1065,male,group D,some college,standard,none,72,57,58
1066,female,group D,some college,standard,none,62,70,72
1067,male,group A,some high school,standard,completed,66,68,64
1068,male,group C,some college,standard,none,63,63,60
1069,female,group E,associate's degree,standard,none,68,76,67
1070,female,group B,bachelor's degree,standard,none,75,84,80
1071,female,group D,bachelor's degree,standard,none,89,100,100
1072,male,group C,some high school,standard,completed,78,72,69
1073,female,group A,high school,free/reduced,completed,53,50,60
1074,female,group D,some college,free/reduced,none,49,65,61
1075,female,group A,some college,standard,none,54,63,67
1076,female,group C,some college,standard,completed,64,82,77
1077,male,group B,some college,free/reduced,completed,60,62,60
1078,male,group C,associate's degree,standard,none,62,65,58
1079,male,group D,high school,standard,completed,55,41,48
1080,female,group C,associate's degree,standard,none,91,95,94
1081,female,group B,high school,free/reduced,none,8,24,23
1082,male,group D,some high school,standard,none,81,78,78
1083,male,group B,some high school,standard,completed,79,85,86
1084,female,group A,some college,standard,completed,78,87,91
1085,female,group C,some high school,standard,none,74,75,82
1086,male,group A,high school,standard,none,57,51,54
1087,female,group C,associate's degree,standard,none,40,59,51
1088,male,group E,some high school,standard,completed,81,75,76
1089,female,group A,some high school,free/reduced,none,44,45,45
1090,female,group D,some college,free/reduced,completed,67,86,83
1091,male,group E,high school,free/reduced,completed,86,81,75
1092,female,group B,some high school,standard,completed,65,82,78
1093,female,group D,associate's degree,free/reduced,none,55,76,76
1094,female,group D,bachelor's degree,free/reduced,none,62,72,74
1095,male,group A,high school,standard,none,63,63,62
1096,female,group E,master's degree,standard,completed,88,99,95
1097,male,group C,high school,free/reduced,none,62,55,55
1098,female,group C,high school,free/reduced,completed,59,71,65
1099,female,group D,some college,standard,completed,68,78,77
1100,female,group D,some college,free/reduced,none,77,86,86
